title,price,image
"
                                ГРАДСКИ ВЕЛОСИПЕД KALKHOFF CITY SHOPPER
            ",110 ,https:////cdn1.focus.bg/bazar/43/fp/439cd9eb0022a867012967a50072b928.jpg
"
                                Колело Батавус 
            ",179 ,https:////cdn1.focus.bg/bazar/be/fp/beb7a45e4b4d8bf5f24673c2f48e29c3.jpg
"
                                колело велосипед BATAVUS® Weekend
            ",500 ,https:////cdn5.focus.bg/bazar/2d/fp/2df4786c6f3b20ae92a00270e047db98.jpg
"
                                Cannondele
            ",680 ,https:////cdn1.focus.bg/bazar/ba/fp/ba1afd0ab95ada2f7480ebca50dd01d3.jpg
"
                                Планински бегач 26. HAWK 22 bleck line. Рамка 40 “. 26” цола
            ",350 ,https:////cdn1.focus.bg/bazar/47/fp/479874964a7ad0c057b3b542316961a9.jpg
"
                                продавам колело 90 lv
            ",Подарявам,https:////cdn1.focus.bg/bazar/ba/fp/ba4eb1de0a0edea920e8a4246198193c.jpg
"
                                Продавам велосипед Sprint Sintero 
            ",400 ,https:////cdn5.focus.bg/bazar/18/fp/180ca73cd894b65c9f3ad267080e8246.jpg
"
                                Колело Conway  28. 21 скорости.  Динамо вградено 
            ",360 ,https:////cdn1.focus.bg/bazar/23/fp/23b4f61acdf838013173beffb67df714.jpg
"
                                Класически велосипед SCOTT
            ",160 ,https:////cdn1.focus.bg/bazar/79/fp/79aeeb1a245196ccb6a15f3739b941c9.jpg
"
                                Продавам 2 бр. Велосипеди 
            ",130 ,https:////cdn1.focus.bg/bazar/be/fp/be5b0ba907c897639b42f039b9cda2ef.jpg
"
                                Продавам 2 бр. Велосипеди 
            ",130 ,https:////cdn1.focus.bg/bazar/be/fp/be5b0ba907c897639b42f039b9cda2ef.jpg
"
                                Продавам 2 бр. Велосипеди 
            ",130 ,https:////cdn1.focus.bg/bazar/be/fp/be5b0ba907c897639b42f039b9cda2ef.jpg
